Date,HomeTeam,AwayTeam,KickoffTime,temperature_2m,wind_speed_10m,FTAG,FTHG,AR,HR,AY,HY,Attendance,HomeAwaySalaryRatio,HomeElo,AwayElo,HomeRank,AwayRank,HomeEloMomentum,AwayEloMomentum,HomeRankMomentum,AwayRankMomentum,HomePlayerRatingCount,HomePlayerRatingMean,HomePlayerRatingStd,AwayPlayerRatingCount,AwayPlayerRatingMean,AwayPlayerRatingStd,TeamEloWinProb,PlayerEloDrawProb,PlayerEloWinProb,HM,AM,HAG,AAG,RollingHomeAdvantage,FTR,HomeAwaySelectionsRatio
17-Apr-18,Brighton,Tottenham,1945,11.9,16.3,1.0,1.0,0.0,0.0,0.0,1.0,30440,0.4867678548779001,1614.9519043,1942.84851074,19.0,2.0,-3.847851563999984,206.937158204,1.8,10.2,12.0,6.634166666666668,0.1819092417174625,13.0,7.043076923076923,0.3142606614159804,0.1315269712487896,0.33,0.33,Chris Hughton,Mauricio Pochettino,0.0,0.0,0.0,D,0.3290359646033214
18-Apr-18,Bournemouth,Man United,1945,13.3,23.2,2.0,0.0,0.0,0.0,1.0,3.0,10952,0.2570541643056711,1670.93054199,1907.44458008,10.0,4.0,117.46079101600004,10.886108397999942,5.0,-1.0,15.0,6.603999999999999,0.239159639850317,14.0,7.082857142857144,0.3108382347190663,0.2039991793166352,0.33,0.33,Eddie Howe,Jose Mourinho,0.0,1.0,0.4,A,0.2713693241465857
19-Apr-18,Leicester,Southampton,1945,17.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,31160,0.9886272226290956,1724.79296875,1637.66101074,7.0,15.0,23.14536132799999,70.63779296799999,3.6,1.8,13.0,6.697692307692308,0.3139121348440782,17.0,6.566470588235295,0.2622962217769778,0.6228286551065946,0.33,0.33,Claude Puel,Mark Hughes,0.0,0.0,0.0,D,2.9649747685972443
22-Apr-18,Arsenal,West Ham,1330,21.6,19.1,1.0,4.0,0.0,0.0,2.0,3.0,59422,2.3627566473462025,1845.35791016,1653.0715332,6.0,14.0,34.35927734199995,-0.911157226000023,2.4,-0.2,14.0,6.9957142857142856,0.3042018663818552,14.0,6.649999999999999,0.3409440674698081,0.7515487378285156,0.33,0.33,Arsene Wenger,David Moyes,2.5,0.0,0.6666666666666666,H,2.2215413485403146
23-Apr-18,Everton,Newcastle,2000,10.7,20.4,0.0,1.0,0.0,0.0,1.0,2.0,39061,2.246265714894524,1700.63220215,1678.74523926,9.0,10.0,80.39995117200002,13.02265624799993,4.8,1.8,14.0,6.606428571428572,0.2242959506308301,15.0,6.577333333333333,0.2365154446448595,0.5314562715321532,0.33,0.33,Sam Allardyce,Jose Mourinho,0.0,0.0,0.4,H,1.9076403718577588
28-Apr-18,Southampton,Bournemouth,1500,9.0,12.8,1.0,2.0,0.0,0.0,1.0,5.0,31778,1.589636662929122,1640.26049805,1668.1315918,15.0,11.0,70.63779296799999,115.429418948,1.8,4.6,17.0,6.566470588235295,0.2622962217769778,15.0,6.603999999999999,0.239159639850317,0.4599760885093724,0.33,0.33,Mark Hughes,Eddie Howe,1.0,1.0,0.25,H,0.6113757513616868
28-Apr-18,Crystal Palace,Leicester,1500,8.9,11.2,0.0,5.0,1.0,0.0,1.0,1.0,25750,1.036320303605313,1662.68603516,1723.80480957,12.0,7.0,74.63127441399998,23.14536132799999,5.2,3.6,14.0,6.831428571428573,0.2552549745662487,13.0,6.697692307692308,0.3139121348440782,0.412939218958092,0.33,0.33,Roy Hodgson,Claude Puel,3.875,0.0,0.3333333333333333,H,0.7326288457207456
29-Apr-18,Man United,Arsenal,1630,10.5,22.2,1.0,2.0,0.0,0.0,1.0,0.0,75035,1.0137439697617745,1900.15979004,1842.08703613,4.0,6.0,9.506298829999924,110.40908203199996,-1.6,6.4,14.0,7.082857142857144,0.3108382347190663,14.0,6.9957142857142856,0.3042018663818552,0.5828037182679396,0.33,0.33,Jose Mourinho,Arsene Wenger,1.0,0.0,0.6666666666666666,H,2.7107941546542937
29-Apr-18,West Ham,Man City,1415,8.0,24.4,4.0,1.0,0.0,0.0,1.0,0.0,56904,0.5020263992330949,1651.27685547,1979.83886719,14.0,1.0,41.07236328200001,182.3284179679999,1.8,6.8,14.0,6.649999999999999,0.3409440674698081,14.0,7.407857142857142,0.3444079510329195,0.1310900531479252,0.33,0.33,David Moyes,Per Guardiola,1.0,3.25,0.2,A,0.1907386049742329
05-May-18,Everton,Southampton,1730,15.3,12.1,1.0,1.0,1.0,0.0,4.0,2.0,38225,1.2656499501746887,1716.46484375,1644.25830078,7.0,14.0,93.85068359199995,69.615161132,5.0,2.2,14.0,6.606428571428572,0.2242959506308301,17.0,6.566470588235295,0.2622962217769778,0.6024428894942643,0.33,0.33,Sam Allardyce,Mark Hughes,0.0,0.8,0.3333333333333333,D,1.1847893538803658
